X,Y,OBJECTID,YEAR,overed,not_resed
120.4711,24.02977,121720,96,1,1
120.4711,24.03428,121722,96,1,1
120.4781,22.88297,82081,93,1,1
120.4753,23.6099,128919,95,1,1
120.4737,24.01397,113780,95,1,1
120.4733,24.10652,15826,83,1,1
120.4783,23.45414,127750,95,1,1
120.4774,23.6844,84674,93,1,1
120.479,23.90564,74948,94,1,1
120.4863,22.6369,81644,93,1,1
120.4909,22.72948,41410,83,1,1
120.4882,23.44289,127891,95,1,1
120.4885,23.98468,136510,96,1,1
120.488,24.10883,15784,83,1,1
120.488,24.12237,15476,83,1,1
120.4914,23.88762,19661,85,1,1
120.4908,24.02306,17899,83,1,1
120.4908,24.02983,17737,83,1,1
120.4907,24.04789,17250,83,1,1
120.4946,23.67543,84734,93,1,1
120.4932,24.05016,17195,83,1,1
120.4957,24.02082,17948,83,1,1
120.4956,24.06822,16799,83,1,1
120.5031,22.70694,81020,93,1,1
120.5,23.55355,85208,94,1,1
120.5055,23.40005,111646,95,1,1
120.5031,24.03213,17677,83,1,1
120.5111,22.51054,44872,85,1,1
120.508,24.03666,17555,83,1,1
120.5079,24.04569,17308,83,1,1
120.5079,24.05924,16994,82,1,1
120.5079,24.06826,16804,82,1,1
120.5078,24.09535,16106,83,1,1
120.5104,24.05247,17147,83,1,1
120.5104,24.05473,17094,82,1,1
120.5103,24.07279,16719,82,1,1
120.5102,24.10439,15893,83,1,1
120.513,24.01185,18150,83,1,1
120.5128,24.05925,16996,82,1,1
120.5128,24.06602,16855,82,1,1
120.5127,24.09988,16001,83,1,1
120.5203,22.67313,8449,88,1,1
120.5202,22.68442,8402,88,1,1
120.517,23.58295,75940,94,1,1
120.5155,24.0096,18183,83,1,1
120.5151,24.10666,15841,83,1,1
120.5251,22.67089,42431,89,1,1
120.5222,23.49943,131696,95,1,1
120.5275,22.68218,8416,88,1,1
120.5234,23.85837,77521,94,1,1
120.5299,22.70476,41842,88,1,1
120.5264,23.6981,62936,92,1,1
120.5249,24.10218,15953,83,1,1
120.5323,22.72509,86837,93,1,1
120.5319,22.83798,39194,87,1,1
120.5278,23.98932,90846,93,1,1
120.5277,24.02318,17913,83,1,1
120.5276,24.05704,17048,82,1,1
120.5348,22.70026,8339,88,1,1
120.5345,22.76799,40750,83,1,1
120.5305,23.93515,18859,85,1,1
120.5301,24.04802,17265,83,1,1
120.53,24.06382,16908,82,1,1
120.5372,22.69124,42061,88,1,1
120.5356,23.88324,132027,95,1,1
120.543,22.42709,85856,93,1,1
120.5425,22.55579,87560,93,1,1
120.5454,22.44064,85874,93,1,1
120.5446,22.66869,42476,88,1,1
120.5446,22.67772,8432,88,1,1
120.5399,24.03902,17501,83,1,1
120.547,22.69127,130772,95,1,1
120.5469,22.70933,130595,95,1,1
120.5437,23.66655,89835,93,1,1
120.5423,24.05257,17158,83,1,1
120.5423,24.05708,17052,82,1,1
120.5493,22.71385,8242,88,1,1
120.5456,23.82458,20998,85,1,1
120.545,23.99388,90892,93,1,1
120.5449,24.0142,18121,83,1,1
120.5518,22.70709,8291,88,1,1
120.5474,23.99841,91715,93,1,1
120.5474,24.00518,91718,93,1,1
120.5474,24.01647,18071,83,1,1
120.5548,22.51518,88236,93,1,1
120.5548,22.52873,87916,93,1,1
120.5543,22.67323,71019,88,1,1
120.5499,24.00519,91722,93,1,1
120.5498,24.01873,18019,83,1,1
120.5569,22.62357,43158,87,1,1
120.5524,23.98713,90912,93,1,1
120.5519,24.13386,15259,89,1,1
120.5591,22.70711,8294,88,1,1
120.5589,22.75903,88783,93,1,1
120.5588,22.79741,7900,88,1,1
120.5548,23.99617,62291,92,1,1
120.5624,22.42037,71834,92,1,1
120.5618,22.6281,43063,87,1,1
120.5615,22.70486,8317,88,1,1
120.5573,24.00069,91727,93,1,1
120.5645,22.53327,87959,93,1,1
120.5599,23.93298,18913,85,1,1
120.5628,23.82012,21201,85,1,1
120.5619,24.09326,16196,82,1,1
120.5688,22.71165,8260,88,1,1
120.5688,22.71391,8244,88,1,1
120.5688,22.71842,8223,88,1,1
120.5663,23.48828,131016,95,1,1
120.5647,23.99394,90943,93,1,1
120.5646,23.99846,91732,93,1,1
120.5722,22.3933,86440,93,1,1
120.5713,22.69134,42070,89,1,1
120.5713,22.70037,8345,88,1,1
120.5712,22.71391,8245,88,1,1
120.5711,22.74778,88815,93,1,1
120.5711,22.75004,88816,93,1,1
120.5668,24.08199,16541,82,1,1
120.5668,24.08424,16482,82,1,1
120.5742,22.53556,87994,93,1,1
120.5737,22.6936,42025,89,1,1
120.5737,22.71844,130652,95,1,1
120.5736,22.75004,88824,92,1,1
120.5792,22.49267,71543,92,1,1
120.5787,22.64846,42805,89,1,1
120.5786,22.70265,122662,95,1,1
120.5785,22.71393,8246,88,1,1
120.5785,22.72071,70761,91,1,1
120.581,22.70717,41821,88,1,1
120.581,22.71846,41641,88,1,1
120.5778,23.7276,89061,93,1,1
120.5834,22.70266,41880,88,1,1
120.5866,22.46785,85732,93,1,1
120.5816,24.08654,16426,82,1,1
120.5892,22.40915,86277,93,1,1
120.584,24.08204,16542,82,1,1
120.5916,22.40916,86288,93,1,1
120.5931,22.71849,87083,93,1,1
120.5901,23.71635,62792,92,1,1
120.5889,24.08882,16354,82,1,1
120.5882,24.30778,58873,91,1,1
120.598,22.71624,70785,92,1,1
120.5942,23.96468,91224,93,1,1
120.5942,23.96919,91226,93,1,1
120.6004,22.71851,87090,93,1,1
120.5962,24.10464,15915,89,1,1
120.5987,24.10465,15916,89,1,1
120.6012,24.10465,15917,89,1,1
120.6077,22.73207,87012,93,1,1
120.6104,22.61918,87304,93,1,1
120.6073,23.71188,89346,93,1,1
120.6061,24.10241,15972,89,1,1
120.6091,23.91054,76882,94,1,1
120.6156,22.5176,88483,93,1,1
120.6102,24.36201,2652,91,1,1
120.6141,23.88798,115394,95,1,1
120.614,23.9399,91399,93,1,1
120.6137,24.03245,62097,92,1,1
120.6203,22.56276,71286,92,1,1
120.6176,24.38235,2233,91,1,1
120.6199628,24.40041095,1891,91,1,1
120.6271,22.75018,41019,89,1,1
120.6238,23.91961,76940,94,1,1
120.6259,24.05731,17056,89,1,1
120.6279,24.21307,61241,91,1,1
120.6279,24.21759,61101,92,1,1
120.6273641,24.3981721,1934,91,1,1
120.6332,24.08216,16557,89,1,1
120.6328,24.20631,61445,91,1,1
120.6322154,24.42527145,1477,91,1,1
120.6357,24.08217,16558,89,1,1
120.6353,24.2018,61542,91,1,1
120.6353,24.20406,61497,91,1,1
120.6353,24.20632,61446,91,1,1
120.6353,24.20857,91642,93,1,1
120.6348,24.39368,2020,91,1,1
120.6381,24.08217,16559,89,1,1
120.6378,24.21084,61320,91,1,1
120.6377,24.21309,61245,91,1,1
120.641,23.93996,76544,94,1,1
120.6408,24.0122,62164,92,1,1
120.6402,24.20859,61390,91,1,1
120.6402,24.21761,91644,93,1,1
120.6434,23.93771,76551,94,1,1
120.6427,24.20859,61391,91,1,1
120.6426,24.23342,60689,91,1,1
120.6483,23.95127,76280,95,1,1
120.6476,24.21086,61324,91,1,1
120.6476,24.21312,61249,91,1,1
120.6476,24.21537,61177,91,1,1
120.6508,23.95353,76286,95,1,1
120.6501,24.21312,61250,91,1,1
120.6557,23.94903,76300,95,1,1
120.6553,24.08447,16508,83,1,1
120.6578,24.08673,16451,83,1,1
120.6578,24.09125,16304,83,1,1
120.6627,24.089,16379,83,1,1
120.6621,24.29441,3563,91,1,1
120.6652,24.08223,16565,83,1,1
120.6676,24.10481,15923,83,1,1
120.6794,22.22421,122103,96,1,1
120.6794,22.22873,122105,96,1,1
120.6745,24.27864,92493,92,1,1
120.6829,23.85653,77926,95,1,1
120.692,22.02328,75551,95,1,1
120.6946,24.12067,15561,83,1,1
120.697,24.11616,15669,83,1,1
120.6996,24.07779,16665,89,1,1
120.6995,24.11165,132670,95,1,1
120.7015,24.31256,14547,90,1,1
120.7064,24.31031,58836,91,1,1
120.7093,24.13424,132628,95,1,1
120.7118,24.1049,132675,95,1,1
120.7114,24.31032,14586,90,1,1
120.7142,24.15005,132618,95,1,1
120.7211,22.02107,75685,94,1,1
120.7164,24.27647,116064,95,1,1
120.7233,22.10236,75250,95,1,1
120.7191,24.13877,132640,95,1,1
120.7213,24.27648,116067,95,1,1
120.7241,24.10718,132695,95,1,1
120.7266,24.1117,132701,95,1,1
120.7262,24.27874,132731,95,1,1
120.729,24.10719,132707,95,1,1
120.7289,24.15459,135965,95,1,1
120.7388,24.12527,132655,95,1,1
120.7453,22.00982,122078,96,1,1
120.7453,22.03692,130535,95,1,1
120.7413,24.12978,132659,95,1,1
120.7406601,24.44129761,92298,93,1,1
120.7574,21.98726,123136,96,1,1
120.7599,21.985,123143,96,1,1
120.7629312,24.39844809,56834,91,1,1
120.7677745,24.44585584,93387,93,1,1
120.8007,22.23118,123545,96,1,1
120.8001,24.25854,60173,91,1,1
120.805,24.26532,60051,91,1,1
120.8123,24.34208,14164,90,1,1
120.8123,24.34659,14121,90,1,1
120.8228,22.03702,124057,96,1,1
120.8228,22.03928,124058,96,1,1
120.8252,22.03928,124064,96,1,1
120.8222,24.31952,14432,89,1,1
120.8276,22.05735,123967,96,1,1
120.8247,24.30598,14642,89,1,1
120.8269043,24.48205067,13636,89,1,1
120.8296,24.29921,14715,89,1,1
120.8396,24.20667,61469,91,1,1
120.8395,24.30148,14697,89,1,1
120.8518,24.31729,14484,89,1,1
120.8517,24.38501,13900,90,1,1
120.8593,24.15703,61921,91,1,1
120.8636723,24.6942698,94129,93,1,1
120.8636483,24.71684226,93742,93,1,1
120.8665,24.35568,14065,89,1,1
120.8661384,24.69878658,93744,93,1,1
120.8695,23.86809,133058,95,1,1
120.8694,23.87261,133059,95,1,1
120.8694,23.87712,116562,95,1,1
120.8719,23.87487,132983,95,1,1
120.8744,23.87487,132984,95,1,1
120.8735464,24.70330768,93777,93,1,1
120.8864,24.16382,61900,91,1,1
120.8913,24.16383,61902,91,1,1
120.9131195,24.63336014,53857,91,1,1
120.9259,23.93134,116369,95,1,1
120.9452,24.72141,133423,95,1,1
120.9477,24.72818,133397,95,1,1
120.9575045,24.85684609,49861,92,1,1
120.9723529,24.83427763,50569,92,1,1
120.9847136,24.88619464,49338,92,1,1
120.9871826,24.9335944,47885,92,1,1
120.9896575,24.93810884,47743,92,1,1
120.9921375,24.87716666,49490,92,1,1
120.9946,23.97424,116214,95,1,1
120.9946,24.69433,125079,96,1,1
121.0020341,24.82525181,50870,92,1,1
121.0020343,24.85910962,11303,89,1,1
121.0069818,24.85233797,49988,91,1,1
121.0117,22.61514,43344,87,1,1
121.0168765,24.84782284,50133,92,1,1
121.029262,24.91779191,48408,92,1,1
121.0416368,24.91327493,10952,89,1,1
121.0458,22.68513,42243,87,1,1
121.0490809,24.96067362,47108,92,1,1
121.0491065,25.03064793,198,88,1,1
121.0515,24.70561,125334,96,1,1
121.0540615,25.03064628,199,88,1,1
121.0564,24.78687,133826,95,1,1
121.056498,24.93584182,47833,92,1,1
