X,Y
120.311026,22.842014
120.311229,22.842908
120.311259,22.842198
120.315507,22.833121
120.355374,22.905652
120.363656,23.943603
120.370807,23.943135
120.377855,23.395142
120.378395,23.394913
120.385328,22.62999
120.39567,22.64009
120.415194,23.709959
120.416374,23.712081
120.416574,23.712229
120.416824,23.712387
120.4171,23.712543
120.417451,23.714835
120.417451,23.714835
120.417836,23.491034
120.417938,23.714337
120.418174,23.713151
120.418241,23.714114
120.418362,23.489075
120.418382,23.49108
120.418639,23.71377
120.418765,23.488973
120.418855,23.489572
120.418938,23.713533
120.418938,23.713533
120.418943,23.488597
120.419352,23.489096
120.419995,23.490471
120.420059,23.488936
120.420164,23.490206
120.42031,23.713448
120.420606,23.716014
120.421303,23.71529
120.421378,23.715479
120.422233,23.714982
120.426701,24.038692
120.42684,24.040147
120.427019,24.039975
120.433923,24.038708
120.439371,24.036494
120.440918,24.105576
120.446342,23.512049
120.446464,24.099202
120.448563,23.511252
120.448588,23.511167
120.448611,23.51073
120.449026,23.510796
120.449094,23.510988
120.44941,23.512094
120.449743,23.511535
120.455464,24.101685
120.455738,24.101328
120.456518,24.101579
120.456735,24.101028
120.456763,24.101245
120.456785,24.101375
120.466691,24.090682
120.467133,24.089999
120.467271,24.090211
120.467295,24.087862
120.467314,24.088106
120.46733,24.088529
120.467356,24.080619
120.467472,24.079026
120.467476,24.078784
120.467484,24.081278
120.467507,24.087982
120.467514,24.078058
120.467529,24.080425
120.46755,24.079997
120.467649,24.080195
120.467758,24.078634
120.468059,24.086792
120.468177,24.087062
120.468207,24.087861
120.468383,24.094107
120.468502,24.088255
120.468505,24.0881
120.468781,24.089791
120.468823,24.078816
120.468874,24.080008
120.468885,24.079076
120.468918,24.081995
120.468926,24.082204
120.469005,24.088099
120.469131,24.087371
120.469187,24.08985
120.469286,24.090537
120.469312,24.087161
120.469345,24.09079
120.469345,24.09079
120.469356,24.087488
120.469434,24.090081
120.46944,24.091066
120.469541,24.078423
120.46955,24.089925
120.46955,24.090267
120.470016,24.092178
120.470032,24.087421
120.470043,24.074756
120.470075,24.087696
120.470078,24.092361
120.470085,24.087066
120.470199,24.087259
120.470233,24.092811
120.470392,24.093921
120.470427,24.093532
120.470554,24.074722
120.470704,24.094594
120.470784,24.094405
120.470799,24.077925
120.470818,24.091609
120.470832,24.091235
120.47087,24.09181
120.470994,24.092722
120.471441,24.092874
120.471444,24.091388
120.471518,24.093434
120.471833,24.096434
120.471856,24.097487
120.471974,24.096659
120.472071,24.092514
120.472391,24.097984
120.472408,24.095659
120.47247,24.080374
120.47247,24.079792
120.47247,24.079467
120.47247,24.080014
120.472482,24.093786
120.472485,24.096006
120.472511,24.092206
120.472569,24.098128
120.472584,24.09382
120.472597,24.09639
120.472606,24.078696
120.472623,24.091907
120.472639,24.096921
120.47266,24.095559
120.472669,24.098298
120.472717,24.093065
120.472797,24.094313
120.472806,24.098539
120.472826,24.104774
120.473075,24.08403
120.473168,24.091543
120.473168,23.986615
120.473224,24.095703
120.47324,24.097946
120.47331,24.095436
120.473439,24.097897
120.473465,24.096696
120.47353,24.096045
120.473586,24.096224
120.473619,24.079384
120.473619,24.079384
120.473619,24.079565
120.473669,24.079956
120.473715,24.097831
120.473815,24.103814
120.47388,24.084615
120.473896,24.098195
120.473903,24.078512
120.473919,24.100066
120.473938,24.078983
120.473948,24.095461
120.47401,24.08481
120.47401,24.08481
120.474015,24.085028
120.474032,24.099311
120.474034,24.085173
120.474044,24.083679
120.474054,24.08532
120.474065,24.083839
120.47408,24.083949
120.47408,24.083949
120.474095,24.097851
120.474101,24.084107
120.474104,24.105491
120.474112,24.098273
120.474125,24.08429
120.474162,24.099537
120.47428,24.099879
120.474285,24.084389
120.474405,24.096142
120.474411,24.095987
120.474422,24.099653
120.474607,24.096302
120.474608,24.080323
120.474608,24.080323
120.474628,24.080808
120.474632,24.104256
120.474639,24.079629
120.474651,24.095795
120.474696,24.097738
120.47473,24.07938
120.47481,24.098216
120.474825,24.09828
120.474844,24.098359
120.474935,24.0816
120.474935,24.0816
120.475184,24.096294
120.475464,24.092999
120.475583,24.093801
120.47564,24.102698
120.475703,24.082564
120.475705,24.080399
120.475705,24.080619
120.475705,24.080982
120.475705,24.081729
120.475705,24.081532
120.475705,24.080772
120.475705,24.081361
120.475706,24.080203
120.4758,24.093566
120.475826,24.094126
120.475865,24.082726
120.475884,24.093511
120.476042,24.093395
120.476114,24.094239
120.476136,24.096046
120.476203,24.09161
120.476218,24.094542
120.476281,24.093367
120.476301,24.096736
120.476317,24.094792
120.476371,24.097053
120.476458,24.097611
120.476475,24.097722
120.47651,24.098164
120.476523,24.082141
120.476599,24.098075
120.476604,24.098202
120.47661,24.080736
120.47661,24.080736
120.47662,24.082645
120.476661,24.081564
120.47669,24.101385
120.476694,24.081246
120.476714,24.098342
120.476716,24.080418
120.476716,24.080235
120.476716,24.080418
120.476717,24.080588
120.476717,24.08084
120.476717,24.08084
120.476762,24.092745
120.476776,24.092447
120.476803,24.094298
120.476816,24.093287
120.476824,24.093581
